id,name,quantity,unit,price,clubcard_price,price_diff,reduction_percent
1886,Tesco Finest Cheesecake Passion Fruit & Raspberry,540.0,g,5.5,4.75,0.75,13.6
1873,Tesco 4 Boneless Sea Bass Fillets,360.0,g,7.5,6.5,1.0,13.3
711,Tesco Medium Ripe & Ready Avocado,1.0,,0.75,0.65,0.09999999999999998,13.3
283,Country Life Original Salted Spreadable,500.0,g,3.75,3.25,0.5,13.3
51,Tesco Blueberries 250G,250.0,g,2.65,2.3,0.3500000000000001,13.2
2059,Simon Howie Premium Pork Sausages,300.0,g,2.3,2.0,0.2999999999999998,13.0
1182,Tesco Finest Raw Jumbo King Prawns,165.0,g,4.0,3.5,0.5,12.5
2100,Tesco Finest Salmon Wellington,795.0,g,16.0,14.0,2.0,12.5
2090,Tesco Finest Belgian Dark Chocolate Brazil Nuts,225.0,g,4.0,3.5,0.5,12.5
1380,Tesco Apple Crumble,500.0,g,4.0,3.5,0.5,12.5
2067,Tesco Finest Roasted Nut Selection With Sea Salt,225.0,g,4.0,3.5,0.5,12.5
820,Yeo Valley Organic Natural Yogurt,450.0,,2.0,1.75,0.25,12.5
1825,Tesco Finest Hickory Smoked Nut Selection,225.0,g,4.0,3.5,0.5,12.5
465,Tesco French Brie,470.0,g,4.0,3.5,0.5,12.5
1448,Tesco Finest Salted Caramelised Nut Selection,225.0,g,4.0,3.5,0.5,12.5
1974,Tesco Finest Maple Nut Selection,225.0,g,4.0,3.5,0.5,12.5
1933,Yeo Valley Organic 0% Fat Natural Yogurt,450.0,g,2.0,1.75,0.25,12.5
1917,Tesco Finest Free Range Whole Chicken 1.9kg-2.3kg (Serves 5-6),,kg,12.5,11.0,1.5,12.0
1346,Tesco Maple & Bourbon Crackling Gammon Joint 2.8kg (Serves approx 13),2.8,kg,25.0,22.0,3.0,12.0
841,Tesco Chocolate Yule Log,720.0,,8.5,7.5,1.0,11.8
1236,Dickinson & Morris Large Melton Mowbray Pork Pie,440.0,g,4.25,3.75,0.5,11.8
2196,Heinz Seriously Good Vegan Mayonnaise,775.0,g,3.4,3.0,0.3999999999999999,11.8
191,St Ewes 6 Medium Free Range Eggs,6.0,,2.2,1.95,0.2500000000000002,11.4
2233,Tesco 2 Cape Hake Fillets,240.0,g,4.4,3.9,0.5000000000000004,11.4
1888,Tesco Finest Coffee & Amaretto Tiramisu,400.0,g,4.5,4.0,0.5,11.1
